#  
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2018-07-03T20:22:50 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to: cds-question@unistra.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO votable-version=1.99+ (14-Oct-2013) 
#INFO -ref=VIZ5b3bdabe8aef 
#INFO -out.max=unlimited 
#INFO queryParameters=17 
#-oc.form=sexa
#-out.max=unlimited
#-nav=cat:J/A+A/568/A22&tab:{J/A+A/568/A22/tablef3}&key:source=J/A+A/568/A22/tablef3&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/568/A22/tablef3
#-order=I
#-out=Name
#-out=zcmb
#-out=mb
#-out=e_mb
#-out=x1
#-out=e_x1
#-out=c
#-out=e_c
#

#RESOURCE=yCat_35680022
#Name: J/A+A/568/A22
#Title: Joint analysis of the SDSS-II and SNLS SNe Ia (Betoule+, 2014)
#Table J_A_A_568_A22_tablef3:
#Name: J/A+A/568/A22/tablef3
#Title: Supernovae light-curve parameters
#---Details of Columns:
    Name       (a12)   Supernovae name [ucd=meta.id;meta.main]
    zcmb       (F6.3)  [0,1.4] CMB frame redshift (1) [ucd=src.redshift]
SDSS15443     0.181 20.192  0.112  1.561  0.181 -0.041  0.024
SDSS15453     0.174 20.549  0.114  1.150  0.253 -0.024  0.029
SDSS15456     0.380 21.981  0.125 -1.213  0.759 -0.091  0.061
SDSS15461     0.179 20.359  0.113 -0.162  0.208 -0.100  0.026
SDSS15466     0.246 21.327  0.120 -1.062  0.392  0.028  0.047
SDSS15467     0.209 20.592  0.116  0.801  0.261 -0.068  0.033
SDSS15504     0.249 21.853  0.131  2.337  0.726  0.206  0.058
SDSS15508     0.134 19.608  0.112  0.883  0.104 -0.059  0.022
SDSS15583     0.177 20.736  0.114 -0.296  0.205  0.025  0.030
SDSS15584     0.281 21.439  0.118  0.315  0.405 -0.045  0.044
SDSS15648     0.174 21.032  0.122 -1.454  0.358  0.114  0.044
SDSS15674     0.197 21.018  0.118 -0.344  0.302  0.004  0.037
SDSS15704     0.364 22.060  0.128 -0.049  0.702 -0.171  0.056
SDSS15756     0.378 22.422  0.135 -0.961  0.712 -0.250  0.061
SDSS15776     0.316 21.847  0.122 -2.282  0.561 -0.146  0.050
SDSS1580      0.183 20.273  0.114  0.880  0.228 -0.038  0.027
SDSS15868     0.241 21.006  0.116  0.329  0.264 -0.141  0.037
SDSS15872     0.202 20.556  0.117  0.781  0.308 -0.064  0.036
SDSS15897     0.169 20.890  0.116 -2.457  0.261  0.016  0.037
SDSS15901     0.198 20.775  0.115  0.030  0.256 -0.041  0.030
SDSS16021     0.123 19.618  0.112 -0.347  0.127 -0.038  0.024
SDSS16032     0.203 20.759  0.115 -0.819  0.240 -0.109  0.034
SDSS16069     0.127 20.104  0.113  0.879  0.217  0.157  0.027
SDSS16072     0.275 21.533  0.127  0.276  0.625 -0.016  0.054
SDSS16073     0.145 20.257  0.112  0.723  0.185 -0.007  0.024
SDSS16093     0.334 21.862  0.133  1.029  0.735 -0.064  0.056
SDSS16099     0.196 20.704  0.113  2.031  0.369  0.023  0.026
SDSS16100     0.194 21.065  0.118 -0.393  0.350  0.052  0.038
SDSS16106     0.250 21.021  0.120 -0.629  0.364 -0.150  0.048
SDSS16116     0.149 19.970  0.112  0.509  0.287 -0.098  0.025
SDSS16165     0.156 20.146  0.113  0.344  0.223 -0.032  0.025
SDSS16185     0.096 19.773  0.113 -2.310  0.224  0.070  0.025
SDSS16206     0.151 20.404  0.114 -2.565  0.551 -0.009  0.031
SDSS16211     0.309 22.131  0.137 -1.964  0.626  0.004  0.070
SDSS16213     0.249 21.128  0.116  0.280  0.430 -0.097  0.038
SDSS16232     0.366 22.136  0.137 -0.146  0.829 -0.111  0.068
SDSS16259     0.118 20.040  0.113 -1.540  0.224  0.075  0.028
SDSS16276     0.192 20.741  0.114 -0.019  0.551 -0.026  0.032
SDSS16281     0.183 20.474  0.114 -0.873  0.510 -0.073  0.032
SDSS16350     0.235 21.130  0.117 -1.346  0.544 -0.090  0.044
SDSS16352     0.246 20.846  0.115  0.273  0.850 -0.142  0.040
SDSS16402     0.288 20.860  0.117 -0.872  0.780 -0.187  0.042
SDSS16473     0.210 20.739  0.115 -1.073  0.868 -0.148  0.041
SDSS16618     0.192 20.467  0.115 -0.793  0.604 -0.097  0.032
SDSS16619     0.114 19.173  0.113 -0.192  0.593 -0.086  0.027
SDSS16641     0.114 19.719  0.113  1.053  0.621  0.040  0.030
SDSS16737     0.199 20.520  0.124 -0.444  0.715 -0.076  0.046
SDSS16793     0.221 20.764  0.138  0.525  1.380 -0.051  0.051
SDSS17168     0.183 20.599  0.115  0.503  0.303 -0.040  0.032
SDSS17171     0.159 19.938  0.145 -0.385  0.343 -0.142  0.041
SDSS17186     0.078 19.240  0.114  0.643  0.149  0.111  0.024
SDSS17208     0.139 19.983  0.119  0.837  0.363 -0.068  0.029
SDSS17215     0.181 20.579  0.118  0.283  0.417  0.015  0.037
SDSS17218     0.178 20.428  0.115 -0.760  0.402 -0.085  0.031
SDSS17220     0.171 20.557  0.115  1.820  0.284  0.150  0.031
SDSS17223     0.234 20.863  0.119  1.013  0.666 -0.070  0.043
SDSS17240     0.072 18.172  0.158 -1.467  0.368 -0.121  0.058
SDSS17253     0.155 19.970  0.172 -0.197  0.420 -0.122  0.066
SDSS17258     0.090 18.819  0.124  0.317  0.210  0.027  0.033
SDSS17274     0.177 20.397  0.164  1.958  0.536 -0.137  0.077
SDSS17280     0.130 19.653  0.147 -0.839  0.287 -0.198  0.050
SDSS17332     0.182 20.681  0.116 -0.237  0.268  0.036  0.034
SDSS17340     0.256 21.318  0.120 -0.075  0.430 -0.007  0.043
SDSS17366     0.138 19.555  0.112  0.567  0.166 -0.096  0.023
SDSS17389     0.171 20.780  0.115  1.130  0.372  0.058  0.033
SDSS17435     0.217 20.710  0.115  0.902  0.254 -0.109  0.035
SDSS17464     0.246 21.092  0.116  0.081  0.567  0.053  0.041
SDSS17497     0.144 20.046  0.112  0.911  0.123  0.038  0.022
SDSS17552     0.249 21.303  0.117  1.243  0.405  0.000  0.042
SDSS17605     0.145 20.061  0.119  0.716  0.441  0.015  0.038
SDSS17629     0.136 20.059  0.114 -0.348  0.145  0.060  0.027
SDSS17745     0.059 17.862  0.115  1.071  0.121 -0.050  0.026
SDSS17784     0.037 17.321  0.115 -0.728  0.077  0.060  0.022
SDSS17791     0.277 21.739  0.137  0.248  0.692 -0.187  0.061
SDSS17801     0.205 21.182  0.131 -0.678  0.480 -0.017  0.054
SDSS17809     0.281 21.478  0.123  1.523  0.427  0.030  0.041
SDSS17811     0.199 20.490  0.114  1.032  0.297 -0.098  0.027
SDSS17825     0.160 20.411  0.113 -0.149  0.158  0.006  0.027
SDSS17875     0.211 21.023  0.116  1.120  0.320 -0.031  0.038
SDSS17880     0.072 18.984  0.113 -0.924  0.109  0.181  0.026
SDSS17884     0.238 20.859  0.116  0.664  0.280 -0.124  0.037
SDSS1794      0.141 20.084  0.113  1.154  0.317  0.031  0.026
SDSS18030     0.155 20.386  0.118 -0.606  0.245 -0.052  0.034
SDSS18091     0.370 21.893  0.139 -0.648  0.650 -0.195  0.063
SDSS18241     0.094 19.177  0.114 -1.123  0.130 -0.085  0.025
SDSS18298     0.119 20.542  0.127 -2.724  0.288  0.255  0.048
SDSS18323     0.154 20.241  0.115  0.160  0.220 -0.043  0.028
SDSS18325     0.254 21.278  0.121  0.393  0.369 -0.055  0.044
SDSS18375     0.107 19.338  0.112  0.164  0.126  0.066  0.021
SDSS18415     0.130 19.866  0.114 -1.624  0.175 -0.087  0.028
SDSS18463     0.267 21.323  0.121  0.941  0.406 -0.044  0.046
SDSS18466     0.212 21.093  0.115 -0.176  0.241  0.031  0.033
SDSS18485     0.278 21.278  0.117  1.316  0.411 -0.088  0.039
SDSS18486     0.245 20.754  0.114  1.113  0.264 -0.109  0.034
SDSS18602     0.134 20.091  0.114  0.916  0.182  0.062  0.028
SDSS18604     0.177 20.913  0.114 -2.079  0.216 -0.046  0.030
SDSS18612     0.114 19.675  0.112 -0.735  0.133  0.060  0.022
SDSS18617     0.320 22.008  0.128 -0.256  0.882 -0.022  0.057
SDSS18650     0.113 19.406  0.112  0.885  0.116 -0.043  0.022
SDSS18697     0.106 19.225  0.112  0.750  0.120 -0.003  0.021
SDSS18721     0.391 22.096  0.149  0.145  0.849 -0.135  0.070
SDSS18740     0.156 20.174  0.112 -0.035  0.126  0.025  0.022
SDSS18749     0.187 21.077  0.114 -1.441  0.374  0.066  0.033
SDSS18768     0.197 20.999  0.119 -0.446  0.294 -0.030  0.037
SDSS18787     0.192 21.202  0.115  0.146  0.431  0.036  0.032
SDSS18804     0.191 20.425  0.113  0.948  0.198 -0.046  0.025
SDSS18807     0.176 20.591  0.113  0.470  0.242 -0.012  0.027
SDSS18809     0.128 19.748  0.112 -1.173  0.179 -0.077  0.024
SDSS18835     0.123 19.509  0.112  0.758  0.109 -0.013  0.022
SDSS18855     0.127 19.701  0.112  0.248  0.144 -0.028  0.022
SDSS18927     0.213 21.241  0.118 -0.590  0.377  0.113  0.040
SDSS18940     0.219 20.967  0.115 -0.944  0.214 -0.049  0.034
SDSS18945     0.269 21.597  0.118  0.139  0.489 -0.048  0.042
SDSS18965     0.205 20.719  0.115 -0.640  0.227 -0.112  0.035
SDSS19002     0.267 21.207  0.116  0.323  0.313 -0.097  0.037
SDSS19008     0.218 21.085  0.119  1.079  0.390  0.085  0.040
SDSS19023     0.242 20.842  0.115  1.302  0.272 -0.119  0.036
SDSS19027     0.294 21.355  0.120  0.469  0.540 -0.007  0.045
SDSS19067     0.353 21.771  0.125  0.552  0.768 -0.066  0.055
SDSS19101     0.186 20.774  0.114 -0.170  0.214  0.045  0.030
SDSS19128     0.285 21.594  0.119  1.352  0.600 -0.065  0.044
SDSS19149     0.195 20.368  0.114  1.180  0.200  0.011  0.028
SDSS19155     0.076 18.228  0.112  1.204  0.103 -0.104  0.022
SDSS19174     0.164 20.518  0.114 -0.753  0.213  0.057  0.031
SDSS19207     0.257 21.466  0.122  0.432  0.549  0.008  0.050
SDSS19230     0.220 21.281  0.120 -1.621  0.436  0.080  0.046
SDSS19282     0.176 20.293  0.113  1.225  0.237 -0.039  0.025
SDSS19341     0.227 21.439  0.119 -1.550  0.369  0.033  0.043
SDSS19353     0.153 20.209  0.114  0.894  0.206  0.036  0.027
SDSS19425     0.210 21.643  0.129 -1.604  0.465  0.131  0.056
SDSS19543     0.122 19.946  0.112 -0.835  0.137 -0.022  0.024
SDSS19596     0.291 21.542  0.121  0.640  0.499 -0.044  0.046
SDSS19604     0.294 22.401  0.141  1.173  0.944  0.173  0.071
SDSS19616     0.165 20.244  0.113  0.152  0.191 -0.023  0.027
SDSS19632     0.307 21.832  0.127  0.154  0.525 -0.045  0.052
SDSS19658     0.199 20.711  0.116 -0.007  0.254 -0.084  0.035
SDSS19702     0.268 21.594  0.122 -1.096  0.456 -0.073  0.049
SDSS19757     0.401 21.992  0.135  0.175  0.891 -0.105  0.061
SDSS19775     0.137 20.269  0.113 -0.229  0.199  0.094  0.028
SDSS19794     0.295 22.242  0.134 -2.427  0.683  0.046  0.071
SDSS19818     0.292 21.508  0.124  1.181  0.550 -0.005  0.046
SDSS19899     0.090 18.478  0.112  0.284  0.194 -0.146  0.021
SDSS19913     0.206 20.820  0.115  0.083  0.339 -0.059  0.034
SDSS19940     0.146 19.801  0.112  1.044  0.206 -0.005  0.025
SDSS19953     0.118 19.196  0.112  0.743  0.185 -0.126  0.022
SDSS19968     0.055 18.011  0.113 -1.889  0.176 -0.035  0.023
SDSS19969     0.174 20.510  0.113  0.047  0.248  0.017  0.027
SDSS19990     0.245 21.379  0.120 -1.314  0.333 -0.086  0.046
SDSS19992     0.225 21.146  0.123  0.273  0.526 -0.081  0.046
SDSS20039     0.246 21.379  0.118  0.725  0.491  0.061  0.044
SDSS20040     0.284 21.246  0.118  0.704  0.625 -0.110  0.044
SDSS20048     0.181 20.907  0.117 -0.682  0.492  0.022  0.039
SDSS20064     0.104 19.260  0.112  0.849  0.181  0.056  0.024
SDSS20084     0.130 20.554  0.114  0.129  0.277  0.155  0.030
SDSS20088     0.244 20.935  0.113 -0.241  0.208 -0.162  0.032
SDSS20106     0.331 22.048  0.135 -0.983  0.719 -0.114  0.067
SDSS20111     0.243 21.412  0.118 -0.030  0.582  0.009  0.044
SDSS20142     0.315 21.289  0.119  0.849  0.677 -0.092  0.040
SDSS20144     0.219 20.773  0.115  0.204  0.594 -0.097  0.033
SDSS2017      0.260 21.301  0.123  1.392  0.545 -0.106  0.048
SDSS20227     0.282 21.511  0.117 -1.291  0.515 -0.150  0.046
SDSS20245     0.300 21.669  0.126 -0.602  0.897  0.045  0.055
SDSS2031      0.152 19.681  0.112  0.507  0.140 -0.130  0.023
SDSS20345     0.264 21.267  0.116 -1.685  0.524 -0.111  0.043
SDSS20364     0.214 21.111  0.118  0.569  0.818  0.035  0.041
SDSS20430     0.163 20.751  0.114 -1.192  0.513  0.024  0.032
SDSS20470     0.124 19.954  0.113  0.657  0.429  0.044  0.029
SDSS20575     0.195 20.622  0.114  0.161  0.494  0.034  0.032
SDSS20581     0.206 20.613  0.114 -0.458  0.440 -0.122  0.033
SDSS20625     0.107 19.481  0.113 -0.107  0.203 -0.004  0.024
SDSS20687     0.188 21.112  0.118 -0.570  0.692  0.149  0.045
SDSS20764     0.164 20.274  0.114 -1.408  0.376 -0.106  0.030
SDSS21006     0.290 21.341  0.117 -0.094  0.757 -0.124  0.039
SDSS2102      0.094 18.639  0.113  1.272  0.196 -0.111  0.022
SDSS21033     0.228 21.001  0.116 -0.794  0.516 -0.088  0.041
SDSS21034     0.108 19.592  0.112  0.014  0.281  0.032  0.024
SDSS21042     0.311 21.379  0.124  1.245  0.754 -0.096  0.051
SDSS21062     0.146 20.358  0.114  0.820  0.373  0.013  0.031
SDSS21502     0.088 18.826  0.113 -0.319  0.240 -0.051  0.024
SDSS21510     0.148 19.741  0.114 -0.845  0.332 -0.155  0.029
SDSS2165      0.287 21.605  0.120  0.478  0.548 -0.121  0.043
SDSS21669     0.123 19.555  0.130 -1.341  0.599 -0.080  0.030
SDSS21861     0.187 20.477  0.122  0.132  0.870 -0.025  0.053
SDSS22075     0.129 19.929  0.114 -1.683  0.335 -0.032  0.030
SDSS2246      0.194 20.982  0.117  0.350  0.361  0.072  0.035
SDSS2308      0.148 19.597  0.112  0.676  0.123 -0.181  0.022
SDSS2330      0.212 21.775  0.125 -1.880  0.548  0.045  0.057
SDSS2372      0.180 20.568  0.114  0.280  0.209  0.030  0.028
SDSS2422      0.263 21.150  0.116  0.990  0.318 -0.171  0.040
SDSS2440      0.192 20.644  0.114  0.396  0.285 -0.087  0.029
SDSS2533      0.339 21.773  0.130  1.761  0.687 -0.077  0.052
SDSS2561      0.117 19.785  0.113 -0.083  0.115  0.040  0.024
SDSS2635      0.143 19.815  0.112  0.863  0.133 -0.049  0.023
SDSS2689      0.160 20.254  0.114  1.392  0.194  0.081  0.028
SDSS2789      0.289 21.563  0.124 -0.762  0.519 -0.111  0.053
SDSS2916      0.123 19.971  0.120 -0.873  0.236  0.057  0.035
SDSS2943      0.264 21.372  0.118  0.532  0.420 -0.029  0.047
SDSS2992      0.126 20.043  0.113 -0.969  0.140  0.106  0.028
SDSS3080      0.174 20.243  0.113  0.120  0.189 -0.050  0.024
SDSS3087      0.164 20.260  0.113  0.523  0.188  0.006  0.024
SDSS3199      0.250 21.547  0.118  1.619  0.367  0.005  0.039
SDSS3317      0.160 20.351  0.113 -0.522  0.181  0.021  0.025
SDSS3377      0.244 20.798  0.115  1.038  0.301 -0.080  0.035
SDSS3451      0.249 20.953  0.116  0.651  0.314 -0.055  0.038
SDSS3452      0.229 20.807  0.116  0.906  0.268 -0.091  0.036
SDSS3592      0.085 18.765  0.112 -0.145  0.071 -0.043  0.020
SDSS3901      0.063 18.040  0.112  1.183  0.077  0.041  0.023
SDSS4000      0.277 21.899  0.128 -1.043  0.574 -0.012  0.060
SDSS4046      0.275 21.521  0.120  0.798  0.509  0.002  0.044
SDSS4241      0.331 21.963  0.126  0.245  0.637 -0.056  0.054
SDSS4577      0.362 22.096  0.133  0.320  0.770 -0.063  0.054
SDSS4679      0.331 22.092  0.136  0.953  0.714  0.091  0.058
SDSS5103      0.160 20.360  0.113 -0.229  0.150  0.016  0.027
SDSS5391      0.300 21.702  0.129  0.261  0.553 -0.031  0.055
SDSS5395      0.116 19.463  0.112  1.194  0.134 -0.016  0.022
SDSS5533      0.218 21.161  0.115 -0.080  0.272  0.022  0.033
SDSS5549      0.120 19.649  0.112  0.253  0.097  0.005  0.022
SDSS5550      0.155 19.867  0.112  1.893  0.198 -0.049  0.022
SDSS5635      0.178 20.910  0.117  0.041  0.391 -0.028  0.036
SDSS5717      0.250 21.338  0.116  1.418  0.338 -0.030  0.035
SDSS5736      0.252 21.406  0.116 -0.218  0.302 -0.009  0.036
SDSS5751      0.130 20.117  0.112  0.679  0.107  0.147  0.023
SDSS5844      0.309 21.576  0.120  0.393  0.510 -0.142  0.042
SDSS5957      0.279 21.448  0.118 -0.186  0.425 -0.122  0.041
SDSS5994      0.186 20.479  0.115  0.747  0.260 -0.062  0.029
SDSS6057      0.067 18.640  0.113 -0.421  0.108  0.108  0.025
SDSS6108      0.258 21.525  0.117  0.455  0.634  0.036  0.043
SDSS6137      0.299 21.522  0.124  0.359  0.713 -0.151  0.051
SDSS6192      0.270 21.679  0.119 -1.948  0.771 -0.062  0.048
SDSS6196      0.279 21.551  0.119 -1.520  0.540 -0.017  0.046
SDSS6249      0.293 21.784  0.119  0.576  0.658  0.031  0.046
SDSS6304      0.190 20.950  0.114 -0.538  0.377  0.068  0.029
SDSS6315      0.266 20.926  0.115 -0.091  0.363 -0.194  0.037
SDSS6406      0.124 19.609  0.112  0.119  0.130 -0.004  0.022
SDSS6422      0.183 20.273  0.112  0.809  0.211 -0.105  0.024
SDSS6558      0.056 17.716  0.113  1.054  0.090 -0.029  0.024
SDSS6649      0.313 21.595  0.118  0.721  0.599 -0.088  0.044
SDSS6699      0.309 21.797  0.122 -0.673  0.833 -0.139  0.048
SDSS6780      0.201 20.955  0.121 -1.767  0.373 -0.031  0.043
SDSS6924      0.326 21.645  0.119  0.909  0.762 -0.073  0.042
SDSS6933      0.212 20.831  0.114  0.077  0.235 -0.020  0.032
SDSS6936      0.180 20.567  0.113  0.028  0.308 -0.021  0.029
SDSS7143      0.302 22.055  0.119 -0.477  0.601  0.011  0.044
SDSS7147      0.109 19.474  0.112 -1.914  0.157 -0.095  0.024
SDSS722       0.085 18.717  0.128 -0.471  0.186 -0.087  0.035
SDSS7243      0.202 20.782  0.118  0.722  0.381 -0.021  0.039
SDSS744       0.126 19.809  0.119  1.401  0.317  0.071  0.032
SDSS7473      0.215 20.885  0.114 -0.183  0.278 -0.098  0.033
SDSS7475      0.320 21.538  0.117  0.677  0.579 -0.170  0.040
SDSS7512      0.218 21.099  0.116  0.501  0.367 -0.003  0.037
SDSS762       0.190 20.633  0.114  1.126  0.267 -0.039  0.030
SDSS774       0.092 18.939  0.122  0.665  0.266 -0.025  0.032
SDSS7779      0.380 21.923  0.119  1.317  0.633 -0.103  0.043
SDSS7847      0.211 21.204  0.116  0.088  0.382  0.120  0.035
SDSS8046      0.258 21.620  0.120  0.244  0.475  0.041  0.047
SDSS8213      0.183 21.109  0.118 -0.657  0.328  0.160  0.038
SDSS8495      0.213 20.820  0.121  0.752  0.463 -0.023  0.041
SDSS8719      0.117 19.419  0.113 -0.021  0.161 -0.066  0.023
SDSS8921      0.144 19.970  0.115  0.872  0.255  0.001  0.028
SDSS9032      0.252 21.349  0.127  0.872  0.594  0.016  0.051
SDSS9457      0.255 21.432  0.130 -0.361  0.567 -0.021  0.058
SDSS9467      0.217 21.069  0.125 -1.396  0.370 -0.142  0.056
Torngasek     1.266 25.736  0.129  0.287  0.560  0.021  0.048
Vilas         0.936 24.482  0.120  0.056  0.290 -0.025  0.059
sn1990af      0.050 17.762  0.139 -2.270  0.112 -0.049  0.044
sn1990o       0.030 16.240  0.143  0.475  0.175 -0.046  0.030
sn1992ae      0.075 18.466  0.142 -0.709  0.155 -0.022  0.054
sn1992ag      0.025 16.317  0.148  0.113  0.308  0.126  0.052
sn1992al      0.014 14.476  0.157 -0.167  0.084 -0.108  0.027
sn1992bc      0.021 15.117  0.147  0.736  0.090 -0.110  0.026
sn1992bg      0.035 16.755  0.145 -0.464  0.120 -0.047  0.045
sn1992bh      0.042 17.625  0.141 -0.011  0.152  0.047  0.046
sn1992bl      0.042 17.348  0.143 -1.714  0.088 -0.045  0.046
sn1992bo      0.019 15.784  0.149 -2.014  0.066 -0.043  0.029
sn1992bp      0.079 18.314  0.139 -0.955  0.125 -0.101  0.050
sn1992bs      0.063 18.293  0.141 -0.176  0.134 -0.032  0.048
sn1992p       0.028 16.068  0.144  0.744  0.394 -0.093  0.043
sn1993ag      0.049 17.841  0.140 -0.830  0.145  0.060  0.047
sn1993b       0.070 18.445  0.146 -0.439  0.294  0.016  0.057
sn1993h       0.024 16.696  0.146 -2.161  0.067  0.111  0.029
sn1993o       0.053 17.645  0.140 -0.706  0.092 -0.081  0.045
sn1994m       0.025 16.312  0.145 -1.526  0.118  0.057  0.031
sn1994s       0.016 14.780  0.155  0.222  0.189 -0.065  0.031
sn1995ac      0.049 17.076  0.139  0.749  0.121 -0.038  0.028
sn1995ak      0.022 16.021  0.149 -1.091  0.131  0.074  0.036
sn1996bl      0.035 16.665  0.141 -0.028  0.134 -0.010  0.028
sn1996bv      0.017 15.351  0.153  0.823  0.270  0.165  0.029
sn1996c       0.031 16.647  0.143  0.659  0.128  0.064  0.029
sn1997dg      0.030 16.850  0.142 -0.334  0.176 -0.031  0.026
sn1997do      0.011 14.449  0.173  0.791  0.188  0.118  0.031
sn1997e       0.014 15.128  0.156 -1.718  0.088  0.026  0.025
sn1998ab      0.028 16.077  0.143 -0.109  0.127  0.039  0.030
sn1998dx      0.054 17.558  0.141 -1.597  0.284 -0.118  0.030
sn1998ef      0.018 14.836  0.151 -1.171  0.118 -0.081  0.025
sn1998v       0.017 15.122  0.151 -0.177  0.117  0.000  0.025
sn1999aa      0.016 14.726  0.153  1.179  0.044 -0.084  0.023
sn1999ac      0.010 14.148  0.175  0.203  0.068  0.049  0.026
sn1999ao      0.055 17.892  0.144  0.258  0.348 -0.020  0.037
sn1999aw      0.039 16.774  0.140  2.022  0.127 -0.049  0.027
sn1999bp      0.078 18.421  0.138  0.601  0.225 -0.055  0.032
sn1999cc      0.032 16.790  0.141 -1.610  0.075 -0.007  0.024
sn1999dk      0.014 14.844  0.157 -0.014  0.208  0.050  0.038
sn1999dq      0.014 14.382  0.158  0.869  0.038  0.027  0.023
sn1999gp      0.027 16.035  0.143  1.779  0.121 -0.006  0.035
sn2000ca      0.023 15.581  0.144  0.478  0.083 -0.097  0.024
sn2000cf      0.037 17.077  0.141 -0.639  0.114 -0.028  0.026
sn2000cn      0.024 16.554  0.144 -2.507  0.155  0.087  0.026
sn2000dk      0.017 15.364  0.150 -2.113  0.106 -0.027  0.025
sn2001az      0.040 16.947  0.142  1.204  0.445 -0.061  0.024
sn2001ba      0.030 16.215  0.142  0.143  0.101 -0.124  0.040
sn2001bf      0.016 14.712  0.153  0.549  0.083 -0.033  0.022
sn2001bt      0.014 15.284  0.157 -0.865  0.069  0.163  0.027
sn2001cn      0.015 15.286  0.154 -0.549  0.040  0.129  0.024
sn2001cz      0.016 15.048  0.153  0.167  0.069  0.041  0.024
sn2001eh      0.037 16.620  0.139  1.743  0.135 -0.037  0.023
sn2001en      0.015 15.080  0.154 -0.916  0.069  0.002  0.023
sn2001ep      0.013 14.883  0.159 -0.925  0.057  0.047  0.021
sn2001fe      0.015 14.661  0.155  0.738  0.095 -0.066  0.022
sn2001v       0.016 14.557  0.153  0.917  0.078 -0.038  0.022
sn2002bf      0.025 16.341  0.148 -0.792  0.134  0.148  0.025
sn2002de      0.028 16.657  0.142  0.542  0.319  0.097  0.023
sn2002dp      0.011 14.557  0.169 -0.316  0.184  0.054  0.023
sn2002ha      0.014 14.686  0.158 -1.295  0.071 -0.093  0.023
sn2002hd      0.036 16.778  0.142 -0.962  0.474  0.000  0.024
sn2002he      0.025 16.238  0.145 -1.738  0.167 -0.049  0.025
sn2002hu      0.038 16.644  0.139  0.515  0.089 -0.090  0.021
sn2002jy      0.022 15.747  0.145  0.977  0.104 -0.035  0.022
sn2002kf      0.020 15.660  0.147 -0.974  0.076 -0.055  0.022
sn2003ch      0.030 16.684  0.141 -1.233  0.147 -0.042  0.023
sn2003fa      0.039 16.699  0.139  1.530  0.094 -0.062  0.022
sn2003iv      0.035 16.971  0.140 -2.039  0.187 -0.089  0.026
sn2003u       0.029 16.483  0.143 -2.090  0.294 -0.033  0.027
sn2003w       0.021 15.876  0.146  0.073  0.061  0.102  0.021
sn2004as      0.033 17.001  0.140  0.399  0.136  0.073  0.023
sn2004eo      0.015 15.065  0.154 -1.167  0.033  0.042  0.023
sn2004ey      0.016 14.683  0.152  0.097  0.018 -0.133  0.018
sn2004gs      0.027 17.153  0.141 -1.806  0.031  0.127  0.019
sn2004gu      0.047 17.453  0.137  1.334  0.058  0.078  0.020
sn2004l       0.033 17.370  0.143 -0.987  0.239  0.173  0.029
sn2004s       0.010 14.157  0.174 -0.117  0.083  0.022  0.025
sn2005ag      0.080 18.471  0.136  0.214  0.048 -0.037  0.023
sn2005al      0.012 14.876  0.161 -1.181  0.028 -0.091  0.019
sn2005bg      0.025 15.866  0.142  0.397  0.056 -0.033  0.019
sn2005bo      0.014 15.639  0.155 -1.163  0.108  0.205  0.020
sn2005el      0.015 14.835  0.154 -1.282  0.032 -0.130  0.022
sn2005eq      0.029 16.285  0.141  1.425  0.077 -0.024  0.022
sn2005eu      0.035 16.450  0.142  0.941  0.095 -0.087  0.030
sn2005hc      0.045 17.323  0.111  0.740  0.026 -0.028  0.012
sn2005iq      0.034 16.764  0.139 -1.071  0.041 -0.113  0.019
sn2005ir      0.075 18.412  0.110  0.684  0.053 -0.014  0.014
sn2005kc      0.015 15.489  0.154 -0.698  0.035  0.148  0.019
sn2005ki      0.020 15.542  0.145 -1.388  0.030 -0.097  0.020
sn2005lz      0.041 17.617  0.139 -1.244  0.122  0.069  0.023
sn2005ms      0.027 16.161  0.142  0.424  0.070 -0.034  0.021
sn2005na      0.027 15.923  0.141 -0.449  0.028 -0.118  0.019
sn2006ac      0.023 16.158  0.144 -0.858  0.062  0.024  0.021
sn2006al      0.069 18.394  0.145 -1.409  0.273 -0.120  0.036
sn2006an      0.065 18.095  0.140  0.646  0.209 -0.045  0.029
sn2006ar      0.023 16.455  0.145 -1.043  0.217  0.082  0.027
sn2006ax      0.017 14.998  0.149  0.153  0.019 -0.105  0.018
sn2006az      0.031 16.462  0.140 -1.343  0.042 -0.117  0.022
sn2006bh      0.011 14.343  0.167 -1.649  0.032 -0.083  0.019
sn2006bq      0.022 16.207  0.145 -1.518  0.066  0.049  0.021
sn2006bt      0.031 16.912  0.140  0.266  0.071  0.063  0.021
sn2006cp      0.023 16.025  0.144  0.353  0.075  0.097  0.022
sn2006ej      0.020 15.744  0.148 -1.005  0.077 -0.031  0.028
sn2006et      0.022 15.971  0.146  0.936  0.152  0.122  0.029
sn2006gr      0.034 16.969  0.140  0.879  0.068  0.074  0.022
sn2006mo      0.037 17.410  0.142 -2.128  0.109  0.008  0.030
sn2006mp      0.023 15.991  0.145  0.941  0.149  0.003  0.027
sn2006n       0.015 15.058  0.155 -1.897  0.061 -0.079  0.022
